"Testfall","Beschreibung","Ergebnis","Nachweis"
"T01","Konfiguration und Dienst sind funktionsfähig.","Bestanden","(?s)OK: configuration test is successful.*active.*Server replied: pong"
"T02","Zwei Fehlversuche bleiben unter maxretry und führen nicht zum Ban.","Bestanden","Currently banned:\s+0"
"T03","Der dritte Fehlversuch löst den Ban der Tester-IP aus.","Bestanden","(?s)Currently banned:\s+1.*192\.168\.56\.20"
"T04","Der Ban ist als nftables-Regel umgesetzt.","Bestanden","(?s)nftables.*192\.168\.56\.20"
"T05","Auch das korrekte Passwort wird während des IP-Bans blockiert.","Bestanden","correct_login_during_ban_exit=(124|255)"
"T06","Die IP wird nach bantime automatisch entsperrt.","Bestanden","Currently banned:\s+0"
"T07","Die Anmeldung funktioniert nach dem automatischen Unban wieder.","Bestanden","LOGIN_OK"
"T08","Für den manuellen Entsperrtest wurde erneut ein Ban ausgelöst.","Bestanden","(?s)Currently banned:\s+1.*192\.168\.56\.20"
"T09","Der manuelle Unban entfernt die Sperre.","Bestanden","Currently banned:\s+0"
"T10","Die Anmeldung funktioniert nach dem manuellen Unban wieder.","Bestanden","LOGIN_OK"
"T11","Fail2ban startet mit der Konfiguration fehlerfrei neu.","Bestanden","(?s)active.*Status for the jail: sshd"
